Tanggal,Toko,Penjualan Ada,Uang Masuk Ada,Total Quinos Gross (Dari Accurate),Total Mutasi Bank (Dari Accurate),Biaya Admin Bank,Biaya Merchant
2002-10-31,MKG,N,Y,0,1372325.72,11799.28,0
2024-12-31,LA.PIAZZA,N,Y,0,65924342.72,590722.28,51800
2024-12-31,MKG,N,Y,0,2282928.42,18246.58,0
2025-01-01,LA.PIAZZA,Y,N,25720345,0,0,0
2025-01-01,MKG,Y,Y,2595690,2574773.06,20916.94,0
2025-01-02,LA.PIAZZA,Y,Y,18552775,18300263.58,176511.42,76000
2025-01-02,MKG,Y,Y,705822,700725.34,5096.66,0
2025-01-03,LA.PIAZZA,Y,Y,21952855,10664627.89,72365.11,94682
2025-01-03,MKG,Y,Y,1636727,1621607.57,9419.43,0
2025-01-04,LA.PIAZZA,Y,Y,33111470,42693282.73,1142392.27,80720
2025-01-04,MKG,Y,Y,1745205,1732844.12,12360.88,0
2025-01-05,LA.PIAZZA,Y,Y,16904380,16670093.34,184836.66,18700
2025-01-05,MKG,Y,Y,1688805,1674765.6,14039.4,0
2025-01-06,LA.PIAZZA,Y,Y,10685060,10470599.76,140485.24,22000
2025-01-06,MKG,Y,Y,565040,559539.24,5500.76,0
2025-01-07,LA.PIAZZA,Y,Y,10562500,10301495.95,80404.05,180600
2025-01-07,MKG,Y,Y,494340,490198.68,4141.32,0
2025-01-08,LA.PIAZZA,Y,Y,16976855,16494425.15,182744.85,28820
2025-01-08,MKG,Y,Y,713475,707805.5,5669.5,0
2025-01-09,LA.PIAZZA,Y,Y,18290480,18074873.17,171966.83,43640
2025-01-09,MKG,Y,Y,681195,675105.13,6089.87,0
2025-01-10,LA.PIAZZA,Y,Y,20692145,20346288.93,189056.07,156800
2025-01-10,MKG,Y,Y,1277430,1271003.59,6426.41,0
2025-01-11,LA.PIAZZA,Y,Y,28234055,27566222.82,291247.18,44840
2025-01-11,MKG,Y,Y,2840110,2816891.16,23218.84,0
2025-01-12,LA.PIAZZA,Y,Y,27323485,26860540.06,287104.94,75840
2025-01-12,MKG,Y,Y,1542120,1531422.69,10697.31,0
2025-01-13,LA.PIAZZA,Y,Y,12726120,12518676.11,106078.89,60940
2025-01-13,MKG,Y,Y,1047585,1145189.22,9810.78,0
