Tanggal,Toko,penjualanDebit,penjualanKredit,uangMasukDebit,uangMasukKredit,[CREDIT] UNMAPPED_1000.02.05,[CREDIT] UNMAPPED_2002.08,[CREDIT] UNMAPPED_4000.100,[CREDIT] UNMAPPED_6000.01.13,[CREDIT] admin_bank,[CREDIT] admin_merchant,[CREDIT] balancing_misc,[CREDIT] balancing_rounding,[CREDIT] discount,[CREDIT] payment_cash,[CREDIT] payment_credit_bca,[CREDIT] payment_gobiz,[CREDIT] payment_transfer,[CREDIT] sales_bar,[CREDIT] sales_beans,[CREDIT] sales_bundling,[CREDIT] sales_inventory,[CREDIT] sales_konsinyasi,[CREDIT] service_charge,[CREDIT] tax,[DEBIT] UNMAPPED_1000.02.03,[DEBIT] UNMAPPED_1000.02.05,[DEBIT] UNMAPPED_1102.01,[DEBIT] UNMAPPED_1109.02.01,[DEBIT] UNMAPPED_4000.91,[DEBIT] admin_bank,[DEBIT] admin_merchant,[DEBIT] balancing_misc,[DEBIT] balancing_rounding,[DEBIT] discount,[DEBIT] payment_academy_100_vouc,[DEBIT] payment_academy_50_vouch,[DEBIT] payment_cash,[DEBIT] payment_cl_upperwest,[DEBIT] payment_credit_bca,[DEBIT] payment_go_dine_in_vou,[DEBIT] payment_gobiz,[DEBIT] payment_ovo,[DEBIT] payment_strada_gift_vou,[DEBIT] payment_strada_reward,[DEBIT] payment_transfer,[DEBIT] payment_voucher_ckt_50_0,[DEBIT] payment_voucher_florist,[DEBIT] payment_voucher_harris_p,[DEBIT] payment_voucher_justyoga,[DEBIT] payment_voucher_padel_sp,[DEBIT] payment_voucher_timezone,[DEBIT] payment_voucher_workshop,[DEBIT] payment_workshop_sms_voucher,[DEBIT] sales_bar,[DEBIT] sales_beans
2026-04-10,SMS,403095,403095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349000,0,0,0,0,17450,36645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-10,MKG,744975,744975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645000,0,0,0,0,32250,67725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-09,SMS,377685,377685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327000,0,0,0,0,16350,34335,0,0,0,0,0,0,0,0,0,4800,0,0,0,0,372885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-09,MKG,536240,536240,678305,678305,0,0,0,0,0,0,0,0,0,0,678305,0,0,473000,0,0,0,0,20400,42840,0,0,0,0,0,5754.43,0,0,0,0,0,0,0,0,536240,0,0,0,0,0,672550.57,0,0,0,0,0,0,0,0,0,0
2026-04-09,LA.PIAZZA,0,0,11751915,11751915,0,0,0,0,0,0,0,0,0,0,11715615,36300,0,0,0,0,0,0,0,0,0,0,0,0,0,93579.28,7600,0,0,0,0,0,0,0,0,0,0,0,0,0,11650735.72,0,0,0,0,0,0,0,0,0,0
2026-04-08,SMS,87780,87780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76000,0,0,0,0,3800,7980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08,MKG,678305,678305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596000,0,0,0,0,26550,55755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08,LA.PIAZZA,12085100,12085100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6090000,545000,3712000,0,191000,498000,1049100,0,0,0,0,0,0,0,0,0,90450,200000,0,0,0,11715615,0,36300,0,0,42735,0,0,0,0,0,0,0,0,0,0,0
2026-04-07,SMS,170940,170940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148000,0,0,0,0,7400,15540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-07,MKG,535085,535085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472000,0,0,0,0,20350,42735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
