TANGGAL,TOKO,CASH,KREDIT BCA,DEBIT BCA,QRIS BCA,DEBIT,DEBIT BRI,KREDIT BRI,TRANSFER,GO-BIZ,OVO
1/1/25,MKG,,261.949,615.653,1.697.171,,,,,,
2/1/25,MKG,,,109.948,590.777,,,,,,
3/1/25,MKG,,,688.821,932.786,,,,,,
4/1/25,MKG,,50.936,172.568,1.509.340,,,,,,
5/1/25,MKG,,230.908,153.385,1.290.473,,,,,,
6/1/25,MKG,,134.696,43.824,381.019,,,,,,
7/1/25,MKG,,39.617,51.455,399.126,,,,,,
8/1/25,MKG,,50.936,,656.870,,,,,,
9/1/25,MKG,,99.607,,575.498,,,,,,
10/1/25,MKG,,,456.694,814.310,,,,,,
11/1/25,MKG,,332.597,303.343,2.180.951,,,,,,
12/1/25,MKG,,39.617,113.020,1.378.785,,,,,,
13/1/25,MKG,,48.672,51.897,330.312,,,,,,
14/1/25,MKG,,103.003,,611.306,,,,,,
15/1/25,MKG,,39.617,466.207,750.976,,,,,,
16/1/25,MKG,,39.617,,870.853,,,,,,
17/1/25,MKG,,194.964,,1.202.861,,,,,,
18/1/25,MKG,,566.474,650.497,2.525.497,,,,,,
19/1/25,MKG,,216.134,350.834,2.728.958,,,,,,
20/1/25,MKG,,140.356,102.911,389.470,,,,,,
21/1/25,MKG,,767.258,32.291,351.592,,,,,,
22/1/25,MKG,,179.972,457.062,1.099.638,,,,,,
23/1/25,MKG,,492.528,138.780,918.679,,,,,,
24/1/25,MKG,,115.454,155.691,1.173.294,,,,,,
25/1/25,MKG,,545.501,124.111,2.597.281,,,,,,
26/1/25,MKG,,342.965,318.356,2.698.176,,,,,,
27/1/25,MKG,,279.580,115.776,2.160.535,,,,,,
28/1/25,MKG,,,,1.768.543,,,,,,
29/1/25,MKG,,156.203,448.655,1.176.735,,,,,,
30/1/25,MKG,,103.003,72.656,558.664,,,,,,
31/1/25,MKG,,"82.629,00 ","20.758,82 ","292.463,34 ",,,,,,
