Nomor #,Tanggal Transaksi Keterangan,Tanggal Transaksi Jurnal,Store,Jenis Jurnal,Nilai,Keterangan
JV.2025.01.00064,1-Jan-2025,1-Jan-2025,MKG,Penjualan cafe,"2,595,690.00",Penjualan cafe strada MKG tanggal 01/01/2025
JV.2025.01.00065,1-Jan-2025,2-Jan-2025,MKG,Uang masuk,"2,595,690.00",Uang masuk penjualan cafe strada MKG tanggal 01/01/2025
JV.2025.01.00011,1-Jan-2025,1-Jan-2025,La Piazza,Penjualan cafe,"25,827,445.00",Penjualan cafe tanggal 01/01/2025
JV.2025.01.00081,2-Jan-2025,2-Jan-2025,MKG,Penjualan cafe,"705,822.00",Penjualan cafe strada MKG tanggal 02/01/2025
JV.2025.01.00082,2-Jan-2025,3-Jan-2025,MKG,Uang masuk,"705,822.00",Uang masuk penjualan cafe strada MKG tanggal 02/01/2025
JV.2025.01.00013,2-Jan-2025,2-Jan-2025,La Piazza,Penjualan cafe,"19,984,625.00",Penjualan cafe tanggal 02/01/2025
JV.2025.01.00037,2-Jan-2025,3-Jan-2025,La Piazza,Uang masuk,"18,552,775.00",Uang masuk penjualan cafe tanggal 02/01/2025
JV.2025.01.00083,3-Jan-2025,3-Jan-2025,MKG,Penjualan cafe,"1,636,727.00",Penjualan cafe strada MKG tanggal 03/01/2025
JV.2025.01.00084,3-Jan-2025,4-Jan-2025,MKG,Uang masuk,"1,631,027.00",Uang masuk penjualan cafe strada MKG tanggal 03/01/2025
JV.2025.01.00089,3-Jan-2025,3-Jan-2025,La Piazza,Penjualan cafe,"22,126,630.00",Penjualan cafe tanggal 03/01/2025
JV.2025.01.00090,3-Jan-2025,4-Jan-2025,La Piazza,Uang masuk,"10,831,675.00",Uang masuk penjualan cafe tanggal 03/01/2025
JV.2025.01.00085,4-Jan-2025,4-Jan-2025,MKG,Penjualan cafe,"1,745,205.00",Penjualan cafe strada MKG tanggal 04/01/2025
JV.2025.01.00086,4-Jan-2025,5-Jan-2025,MKG,Uang masuk,"1,745,205.00",Uang masuk penjualan cafe strada MKG tanggal 04/01/2025
JV.2025.01.00091,4-Jan-2025,4-Jan-2025,La Piazza,Penjualan cafe,"33,223,370.00",Penjualan cafe tanggal 04/01/2025
JV.2025.01.00092,4-Jan-2025,5-Jan-2025,La Piazza,Uang masuk,"43,916,395.00",Uang masuk penjualan cafe tanggal  03 & 04 Januari 2025
