Tanggal,Komponen,1100.10,4000.01.03,2002.04.03,2002.03.04,7200.02,Uang Masuk 1000.02.04,biaya Admin Bank 6000.01.08
1/1/25,SETTLEMENT,"2,595,690.00","2,286,000","99,900","209,790",,"2,574,773.06","20,916.94"
2/1/25,SETTLEMENT,"705,822.00","611,100","30,556","64,166",,"700,725.34","5,096.66"
3/1/25,SETTLEMENT,"1,631,027.00","1,436,300","62,815","131,912",,"1,621,607.57","9,419.43"
4/1/25,SETTLEMENT,"1,745,205.00","1,511,000","75,550","158,655",,"1,732,844.12","12,360.88"
5/1/25,SETTLEMENT,"1,688,805.00","1,467,000","71,550","150,255",,"1,674,765.60","14,039.40"
6/1/25,SETTLEMENT,"565,040.00","508,000","18,400","38,640",,"559,539.24","5,500.76"
7/1/25,SETTLEMENT,"494,340.00","428,000","21,400","44,940",,"490,198.68","4,141.32"
8/1/25,SETTLEMENT,"713,475.00","629,000","27,250","57,225",,"707,805.50","5,669.50"
9/1/25,SETTLEMENT,"681,195.00","593,000","28,450","59,745",,"675,105.13","6,089.87"
10/1/25,SETTLEMENT,"1,277,430.00","1,106,000","55,300","116,130",,"1,271,003.59","6,426.41"
11/1/25,SETTLEMENT,"2,840,110.00","2,474,000","118,100","248,010",,"2,816,891.16","23,218.84"
12/1/25,SETTLEMENT,"1,542,120.00","1,340,000","65,200","136,920",,"1,531,422.69","10,697.31"
13/1/25,SETTLEMENT,"434,280.00","376,000","18,800","39,480",,"430,880.52","3,399.48"
14/1/25,SETTLEMENT,"720,720.00","624,000","31,200","65,520",,"714,308.70","6,411.30"
15/1/25,SETTLEMENT,"1,266,540.00","1,132,000","43,400","91,140",,"1,256,799.96","9,740.04"
16/1/25,SETTLEMENT,"917,417.00","794,300","39,715","83,402",,"910,470.07","6,946.93"
17/1/25,SETTLEMENT,"1,410,000.00","1,224,000","60,000","126,000",,"1,397,824.63","12,175.37"
18/1/25,SETTLEMENT,"3,775,470.00","3,304,000","151,999","319,200",,"3,742,467.82","33,002.18"
19/1/25,SETTLEMENT,"3,321,015.00","2,885,000","140,650","295,365",,"3,295,925.21","25,089.79"
20/1/25,SETTLEMENT,"639,385.00","567,000","23,350","49,035",,"632,736.00","6,649.00"
21/1/25,SETTLEMENT,"1,169,325.00","1,105,000","20,750","43,575",,"1,151,141.00","18,184.00"
22/1/25,SETTLEMENT,"1,749,570.00","1,518,000","74,700","156,870",,"1,736,672.08","12,897.92"
23/1/25,SETTLEMENT,"1,567,490.00","1,388,000","57,900","121,590",,"1,549,986.54","17,503.46"
24/1/25,SETTLEMENT,"1,455,300.00","1,260,000","63,000","132,300",,"1,444,439.18","10,860.82"
25/1/25,SETTLEMENT,"3,297,040.00","2,868,000","138,400","290,640",,"3,266,892.98","30,147.02"
26/1/25,SETTLEMENT,"3,386,841.00","2,935,550","145,578","305,713",,"3,359,496.81","27,344.19"
27/1/25,SETTLEMENT,"2,577,000.00","2,236,000","110,000","231,000",,"2,555,890.73","21,109.27"
28/1/25,SETTLEMENT,"2,102,100.00","1,785,000","89,250","187,425",,"1,768,542.93","333,557.07"
29/1/25,SETTLEMENT,"1,473,780.00","1,276,000","63,800","133,980",,"1,781,592.93","(307,812.93)"
30/1/25,SETTLEMENT,"740,472.00","641,100","32,056","67,316",,"734,322.66","6,149.34"
31/1/25,SETTLEMENT,"399,630.00","346,000","17,300","36,330",,"395,851.16","3,778.84"
1/2/25,SETTLEMENT,"2,841,513.00","2,491,050","113,053","237,410",,"2,818,706.87","22,806.13"
2/2/25,SETTLEMENT,"3,193,633.00","2,765,050","138,253","290,330",,"3,172,137.43","21,495.57"
3/2/25,SETTLEMENT,"446,119.00","386,250","19,313","40,556",,"443,574.26","2,544.74"
4/2/25,SETTLEMENT,"620,582.00","537,300","26,865","56,417",,"616,138.91","4,443.09"
5/2/25,SETTLEMENT,"1,310,930.00","1,186,000","40,300","84,630",,"1,300,932.89","9,997.11"
6/2/25,SETTLEMENT,"751,443.00","650,600","32,530","68,313",,"744,584.19","6,858.81"
7/2/25,SETTLEMENT,"1,332,130.00","1,170,000","52,300","109,830",,"1,321,492.69","10,637.31"
8/2/25,SETTLEMENT,"2,263,641.00","1,973,550","93,578","196,513",,"2,246,765.75","16,875.25"
9/2/25,SETTLEMENT,"2,692,050.00","2,334,000","115,500","242,550",,"2,671,692.51","20,357.49"
10/2/25,SETTLEMENT,"1,240,470.00","1,074,000","53,700","112,770",,"1,230,855.97","9,614.03"
11/2/25,SETTLEMENT,"1,080,806.00","954,550","40,728","85,528",,"1,073,795.27","7,010.73"
12/2/25,SETTLEMENT,"1,021,714.00","884,600","44,230","92,884",,"1,013,106.74","8,607.26"
13/2/25,SETTLEMENT,"1,027,258.00","889,400","44,471","93,386",,"1,018,974.10","8,283.90"
14/2/25,SETTLEMENT,"1,093,474.00","960,150","43,007","90,316",,"1,085,353.30","8,120.70"
15/2/25,SETTLEMENT,"2,283,609.00","1,977,150","98,858","207,601",,"2,268,141.57","15,467.43"
16/2/25,SETTLEMENT,"2,191,461.00","1,925,550","85,778","180,133",,"2,174,487.29","16,973.71"
17/2/25,SETTLEMENT,"1,169,265.00","1,012,350","50,618","106,297",,"1,161,102.48","8,162.52"
18/2/25,SETTLEMENT,"702,240.00","608,000","30,400","63,840",,"697,723.20","4,516.80"
