PENJUALAN,,,,,UANG MASUK,,,,
Kata Kata Quinos,Kode Accurate,Outlet,Kredit/Debit,,Kata Kata Quinos,Kode Accurate,Outlet,Kredit/Debit,
Sales per Department - Bar,4000.01.02,4.BSD,Kredit,,,,,,
Sales per Department - Bar,4000.01.02,2.LPZ,Kredit,,,,,,
Sales per Department - Bar,4000.01.02,5.MKG,Kredit,,Payment Method - CASH,1000.01.04,4.BSD,Kredit,
Sales per Department - Bar,4000.01.02,6.SMB,Kredit,,Payment Method - CASH,1000.01.02,2.LPZ,Kredit,
Sales per Department - Bar,4000.01.02,7.SMB Gold Lounge,Kredit,,Payment Method - CASH,1000.01.05,5.MKG,Kredit,
Sales per Department - Bar,4000.01.02,3.SMS,Kredit,,Payment Method - CASH,1000.01.06,6.SMB,Kredit,
Sales per Department - Bar,4000.01.02,8.SCBD,Kredit,,Payment Method - CASH,1000.01.08,8.SCBD,Kredit,
Sales per Department - Bundling Kitchen and Bar,4000.01.01,4.BSD,Kredit,,Payment Method - CASH,1000.01.07,7.SMB Gold Lounge,Kredit,
Sales per Department - Bundling Kitchen and Bar,4000.01.01,2.LPZ,Kredit,,Payment Method - CASH,1000.01.03,3.SMS,Kredit,
Sales per Department - Bundling Kitchen and Bar,4000.01.01,5.MKG,Kredit,,Payment Method - CREDIT BCA,1000.02.04.02,4.BSD,Kredit,
Sales per Department - Bundling Kitchen and Bar,4000.01.01,6.SMB,Kredit,,Payment Method - CREDIT BCA,1000.02.02.02,2.LPZ,Kredit,
Sales per Department - Bundling Kitchen and Bar,4000.01.01,7.SMB Gold Lounge,Kredit,,Payment Method - CREDIT BCA,1000.02.05.02,5.MKG,Kredit,
Sales per Department - Bundling Kitchen and Bar,4000.01.01,3.SMS,Kredit,,Payment Method - CREDIT BCA,1000.02.06.02,6.SMB,Kredit,
Sales per Department - Bundling Kitchen and Bar,4000.01.01,8.SCBD,Kredit,,Payment Method - CREDIT BCA,1000.02.07.02,7.SMB Gold Lounge,Kredit,
Sales per Department - Coffee Beans,4000.01.03,4.BSD,Kredit,,Payment Method - CREDIT BCA,1000.02.03.02,3.SMS,Kredit,
Sales per Department - Coffee Beans,4000.01.03,2.LPZ,Kredit,,Payment Method - CREDIT BCA,1000.02.08.02,8.SCBD,Kredit,
Sales per Department - Coffee Beans,4000.01.03,5.MKG,Kredit,,Payment Method - DEBIT,1000.02.04.02,4.BSD,Kredit,
Sales per Department - Coffee Beans,4000.01.03,6.SMB,Kredit,,Payment Method - DEBIT,1000.02.02.02,2.LPZ,Kredit,
Sales per Department - Coffee Beans,4000.01.03,7.SMB Gold Lounge,Kredit,,Payment Method - DEBIT,1000.02.05.02,5.MKG,Kredit,
Sales per Department - Coffee Beans,4000.01.03,3.SMS,Kredit,,Payment Method - DEBIT,1000.02.06.02,6.SMB,Kredit,
Sales per Department - Coffee Beans,4000.01.03,8.SCBD,Kredit,,Payment Method - DEBIT,1000.02.07.02,7.SMB Gold Lounge,Kredit,
Sales per Department - Inventory,4000.01.04,4.BSD,Kredit,,Payment Method - DEBIT,1000.02.03.02,3.SMS,Kredit,
Sales per Department - Inventory,4000.01.04,2.LPZ,Kredit,,Payment Method - DEBIT,1000.02.08.02,8.SCBD,Kredit,
Sales per Department - Inventory,4000.01.04,5.MKG,Kredit,,Payment Method - DEBIT BCA,1000.02.04.02,4.BSD,Kredit,
Sales per Department - Inventory,4000.01.04,6.SMB,Kredit,,Payment Method - DEBIT BCA,1000.02.02.02,2.LPZ,Kredit,
Sales per Department - Inventory,4000.01.04,7.SMB Gold Lounge,Kredit,,Payment Method - DEBIT BCA,1000.02.05.02,5.MKG,Kredit,
