Status Audit,Tanggal,Toko,Penjualan Cafe (Missing?),Uang Masuk (Missing?),Submit Penjualan (Y/N),Submit Uang Masuk (Y/N),Setuju Auto-Balance 15k (Y/N),Mutasi Kredit BCA,Mutasi Debit BCA,Mutasi QRIS BCA,Mutasi Gobiz,Mutasi OVO,Mutasi Cash,Info: Total Quinos Gross (BCA+Gobiz+OVO),Info: Biaya Admin Bank,Info: Biaya Merchant
NEEDS CHECKING - Mutasi Bank Belum Diisi,2025-01-01,LA.PIAZZA,ADA,MISSING,N,Y,Y,0,0,0,0,0,0,25643370,0,0
OK,2025-01-01,MKG,ADA,ADA,N,N,Y,0,0,0,0,0,0,0,0,0
NEEDS CHECKING - Mutasi Bank Belum Diisi,2025-01-02,LA.PIAZZA,ADA,ADA,N,N,Y,0,0,0,0,0,0,18552775,0,0
OK,2025-01-02,MKG,ADA,ADA,N,N,Y,0,0,0,0,0,0,0,0,0
NEEDS CHECKING - Mutasi Bank Belum Diisi,2025-01-03,LA.PIAZZA,ADA,ADA,N,N,Y,0,0,0,0,0,0,21782855,0,0
OK,2025-01-03,MKG,ADA,ADA,N,N,Y,0,0,0,0,0,0,0,0,0
NEEDS CHECKING - Mutasi Bank Belum Diisi,2025-01-04,LA.PIAZZA,ADA,ADA,N,N,Y,0,0,0,0,0,0,32965215,0,0
OK,2025-01-04,MKG,ADA,ADA,N,N,Y,0,0,0,0,0,0,0,0,0
NEEDS CHECKING - Mutasi Bank Belum Diisi,2025-01-05,LA.PIAZZA,ADA,ADA,N,N,Y,0,0,0,0,0,0,16873630,0,0
OK,2025-01-05,MKG,ADA,ADA,N,N,Y,0,0,0,0,0,0,0,0,0
NEEDS CHECKING - Mutasi Bank Belum Diisi,2025-01-06,LA.PIAZZA,ADA,ADA,N,N,Y,0,0,0,0,0,0,10633085,0,0
OK,2025-01-06,MKG,ADA,ADA,N,N,Y,0,0,0,0,0,0,0,0,0
NEEDS CHECKING - Mutasi Bank Belum Diisi,2025-01-07,LA.PIAZZA,ADA,ADA,N,N,Y,0,0,0,0,0,0,10562500,0,0
OK,2025-01-07,MKG,ADA,ADA,N,N,Y,0,0,0,0,0,0,0,0,0
