"Kode Perkiraan","Nama Perkiraan","No. Trans #","Tanggal","Tipe Transaksi","Deskripsi","Debit","Kredit"
"1100.06","Piutang Gobiz LPZ","JV.2024.12.01062",2025-01-01,"Jurnal Umum","Uang masuk penjualan cafe tanggal 31/12/2024","0","110000"
"1100.01","Piutang Usaha LPZ","JV.2024.12.01062",2025-01-01,"Jurnal Umum","Uang masuk penjualan cafe tanggal 31/12/2024","0","154000"
"6000.01.36","Biaya Penjualan Merchant Online","JV.2024.12.01062",2025-01-01,"Jurnal Umum","Uang masuk penjualan cafe tanggal 31/12/2024","51800","0"
"1000.02.01","Bank BCA LPZ 4281688817","JV.2024.12.01062",2025-01-01,"Jurnal Umum","Uang masuk penjualan cafe tanggal 31/12/2024","212200","0"
"4000.01.02","Penjualan Bar LPZ","JV.2025.01.00011",2025-01-01,"Jurnal Umum","Penjualan cafe tanggal 01/01/2025","0","14722000"
"4000.01.01","Penjualan Makanan LPZ","JV.2025.01.00011",2025-01-01,"Jurnal Umum","Penjualan cafe tanggal 01/01/2025","0","6638000"
"4000.01.10","Penjualan Coffee Beans LPZ","JV.2025.01.00011",2025-01-01,"Jurnal Umum","Penjualan cafe tanggal 01/01/2025","0","250000"
"4000.01.13","Penjualan Coffee Tools LPZ","JV.2025.01.00011",2025-01-01,"Jurnal Umum","Penjualan cafe tanggal 01/01/2025","0","145500"
"4000.01.16","Penjualan Konsinyasi LPZ","JV.2025.01.00011",2025-01-01,"Jurnal Umum","Penjualan cafe tanggal 01/01/2025","0","659000"
"1100.01","Piutang Usaha LPZ","JV.2025.01.00011",2025-01-01,"Jurnal Umum","Penjualan cafe tanggal 01/01/2025","25643370","0"
"2002.04.01","Hutang Service LPZ","JV.2025.01.00011",2025-01-01,"Jurnal Umum","Penjualan cafe tanggal 01/01/2025","0","1100950"
"4000.90","Pendapatan Lain-lain","JV.2025.01.00011",2025-01-01,"Jurnal Umum","Penjualan cafe tanggal 01/01/2025","0","2311995"
"4000.96.04","Potongan Penjualan - STRADA + REWARD","JV.2025.01.00011",2025-01-01,"Jurnal Umum","Penjualan cafe tanggal 01/01/2025","51975","0"
"2002.01.01","Hutang Voucher Beredar Harris P","JV.2025.01.00011",2025-01-01,"Jurnal Umum","Penjualan cafe tanggal 01/01/2025","25000","0"
"4000.96.01","Diskon Penjualan LPZ","JV.2025.01.00011",2025-01-01,"Jurnal Umum","Penjualan cafe tanggal 01/01/2025","107100","0"
"1000.02.04","Bank BCA MKG 4599991899","JV.2025.01.00038",2025-01-01,"Jurnal Umum","Uang masuk penjualan cafe strada MKG tanggal 31/12/2024","2282928,42","0"
"1100.10","Piutang Usaha MKG","JV.2025.01.00038",2025-01-01,"Jurnal Umum","Uang masuk penjualan cafe strada MKG tanggal 31/12/2024","0","2301175"
"6000.01.08","Biaya Admin Bank","JV.2025.01.00038",2025-01-01,"Jurnal Umum","Uang masuk penjualan cafe strada MKG tanggal 31/12/2024","18246,58","0"
"4000.01.03","Penjualan Strada MKG","JV.2025.01.00064",2025-01-01,"Jurnal Umum","Penjualan cafe strada MKG tanggal 01/01/2025","0","2286000"
"2002.04.01","Hutang Service LPZ","JV.2025.01.00064",2025-01-01,"Jurnal Umum","Penjualan cafe strada MKG tanggal 01/01/2025","0","99900"
"1100.10","Piutang Usaha MKG","JV.2025.01.00064",2025-01-01,"Jurnal Umum","Penjualan cafe strada MKG tanggal 01/01/2025","2595690","0"
"2002.03.02","Hutang Pajak Pemkot LPZ","JV.2025.01.00064",2025-01-01,"Jurnal Umum","Penjualan cafe strada MKG tanggal 01/01/2025","0","209790"
"1100.01","Piutang Usaha LPZ","JV.2025.01.00012",2025-01-02,"Jurnal Umum","Uang masuk penjualan cafe tanggal 31 Desember 2024 dan 01 Januari 2025","0","25643370"
"1100.01","Piutang Usaha LPZ","JV.2025.01.00012",2025-01-02,"Jurnal Umum","Uang masuk penjualan cafe tanggal 31 Desember 2024 dan 01 Januari 2025","0","40659495"
"1000.02.01","Bank BCA LPZ 4281688817","JV.2025.01.00012",2025-01-02,"Jurnal Umum","Uang masuk penjualan cafe tanggal 31 Desember 2024 dan 01 Januari 2025","65712142,72","0"
"6000.01.08","Biaya Admin Bank","JV.2025.01.00012",2025-01-02,"Jurnal Umum","Uang masuk penjualan cafe tanggal 31 Desember 2024 dan 01 Januari 2025","590722,28","0"
"4000.01.02","Penjualan Bar LPZ","JV.2025.01.00013",2025-01-02,"Jurnal Umum","Penjualan cafe tanggal 02/01/2025","0","10446000"
"4000.01.01","Penjualan Makanan LPZ","JV.2025.01.00013",2025-01-02,"Jurnal Umum","Penjualan cafe tanggal 02/01/2025","0","4866000"
"4000.01.10","Penjualan Coffee Beans LPZ","JV.2025.01.00013",2025-01-02,"Jurnal Umum","Penjualan cafe tanggal 02/01/2025","0","2015000"
"4000.01.16","Penjualan Konsinyasi LPZ","JV.2025.01.00013",2025-01-02,"Jurnal Umum","Penjualan cafe tanggal 02/01/2025","0","132000"
"4000.01.13","Penjualan Coffee Tools LPZ","JV.2025.01.00013",2025-01-02,"Jurnal Umum","Penjualan cafe tanggal 02/01/2025","0","160000"
"1100.01","Piutang Usaha LPZ","JV.2025.01.00013",2025-01-02,"Jurnal Umum","Penjualan cafe tanggal 02/01/2025","18128275","0"
"1000.02.01","Bank BCA LPZ 4281688817","JV.2025.01.00013",2025-01-02,"Jurnal Umum","Penjualan cafe tanggal 02/01/2025","1240000","0"
"1100.06","Piutang Gobiz LPZ","JV.2025.01.00013",2025-01-02,"Jurnal Umum","Penjualan cafe tanggal 02/01/2025","149500","0"
"1100.01","Piutang Usaha LPZ","JV.2025.01.00013",2025-01-02,"Jurnal Umum","Penjualan cafe tanggal 02/01/2025","275000","0"
"2002.04.01","Hutang Service LPZ","JV.2025.01.00013",2025-01-02,"Jurnal Umum","Penjualan cafe tanggal 02/01/2025","0","757450"
"4000.90","Pendapatan Lain-lain","JV.2025.01.00013",2025-01-02,"Jurnal Umum","Penjualan cafe tanggal 02/01/2025","0","1608175"
"4000.96.01","Diskon Penjualan LPZ","JV.2025.01.00013",2025-01-02,"Jurnal Umum","Penjualan cafe tanggal 02/01/2025","191850","0"
"1000.02.04","Bank BCA MKG 4599991899","JV.2025.01.00065",2025-01-02,"Jurnal Umum","Uang masuk penjualan cafe strada MKG tanggal 01/01/2025","2574773,06","0"
"1100.10","Piutang Usaha MKG","JV.2025.01.00065",2025-01-02,"Jurnal Umum","Uang masuk penjualan cafe strada MKG tanggal 01/01/2025","0","2595690"
"6000.01.08","Biaya Admin Bank","JV.2025.01.00065",2025-01-02,"Jurnal Umum","Uang masuk penjualan cafe strada MKG tanggal 01/01/2025","20916,94","0"
"2002.04.01","Hutang Service LPZ","JV.2025.01.00081",2025-01-02,"Jurnal Umum","Penjualan cafe strada MKG tanggal 02/01/2025","0","30556"
"4000.01.03","Penjualan Strada MKG","JV.2025.01.00081",2025-01-02,"Jurnal Umum","Penjualan cafe strada MKG tanggal 02/01/2025","0","611100"
"1100.10","Piutang Usaha MKG","JV.2025.01.00081",2025-01-02,"Jurnal Umum","Penjualan cafe strada MKG tanggal 02/01/2025","705822","0"
"2002.03.02","Hutang Pajak Pemkot LPZ","JV.2025.01.00081",2025-01-02,"Jurnal Umum","Penjualan cafe strada MKG tanggal 02/01/2025","0","64166"
"1100.01","Piutang Usaha LPZ","JV.2025.01.00037",2025-01-03,"Jurnal Umum","Uang masuk penjualan cafe tanggal 02/01/2025","0","18128275"
"1100.06","Piutang Gobiz LPZ","JV.2025.01.00037",2025-01-03,"Jurnal Umum","Uang masuk penjualan cafe tanggal 02/01/2025","0","149500"
