Tanggal,Toko,MASUK CASH,KREDIT BCA,DEBIT BCA,QRIS BCA,MASUK GO-BIZ,MASUK OVO
31/08/2025,SMS,,"121,327.00 ","36,904.56 ","703,058.91 ",,"59,520.00 "
01/09/2025,SMS,,"92,816.00 ","51,455.25 ","434,680.79 ",,
02/09/2025,SMS,,"42,094.00 ",,"127,307.58 ","98,840.00 ",
03/09/2025,SMS,,,"73,809.12 ","297,324.07 ",,
04/09/2025,SMS,,"137,617.00 ","163,763.99 ","406,007.91 ",,
05/09/2025,SMS,,"124,509.00 ","249,562.01 ","1,122,829.79 ",,
06/09/2025,SMS,,"155,071.00 ",,"1,308,903.10 ",,
07/09/2025,SMS,,,"179,521.65 ","1,180,840.85 ",,
08/09/2025,SMS,,"56,595.00 ",,"403,714.09 ",,
09/09/2025,SMS,,"82,629.00 ","40,020.75 ","259,202.80 ",,
10/09/2025,SMS,,,,"217,432.25 ",,
11/09/2025,SMS,,,,"82,577.88 ",,
12/09/2025,SMS,,,,"36,701.28 ",,
13/09/2025,SMS,,,"234,113.31 ","1,227,750.17 ",,
14/09/2025,SMS,,"259,205.00 ","83,471.85 ","980,612.34 ",,
15/09/2025,SMS,,,"42,670.90 ","118,579.10 ",,
16/09/2025,SMS,,,"80,385.12 ","322,556.19 ",,
17/09/2025,SMS,,,,"236,264.49 ",,
18/09/2025,SMS,,,,"138,776.72 ",,
19/09/2025,SMS,,"110,039.00 ",,"331,125.79 ",,"49,920.00 "
20/09/2025,SMS,,,"42,670.90 ","932,109.25 ",,
21/09/2025,SMS,,"152,806.00 ","47,283.97 ","1,079,157.65 ",,
22/09/2025,SMS,,,,"142,217.47 ",,
23/09/2025,SMS,,,,"274,112.69 ",,
24/09/2025,SMS,,,,"120,426.08 ",,
25/09/2025,SMS,,,"65,736.25 ","339,486.85 ",,"49,920.00 "
26/09/2025,SMS,,"118,850.00 ","79,575.46 ","472,528.99 ",,
27/09/2025,SMS,,,,"754,158.68 ",,
28/09/2025,SMS,,"81,497.00 ","160,304.19 ","1,390,800.77 ",,
29/09/2025,SMS,,,"84,978.55 ","245,439.82 ",,
30/09/2025,SMS,,,,"328,017.70 ",,
01/10/2025,SMS,,,,"231,676.83 ",,
02/10/2025,SMS,,"41,880.00 ",,"283,288.01 ",,
03/10/2025,SMS,,"35,089.00 ",,"602,135.35 ",,
04/10/2025,SMS,,"98,000.00 ",,"653,741.56 ",,
05/10/2025,SMS,,"98,689.00 ","80,041.50 ","766,412.30 ","190,040.00 ",
06/10/2025,SMS,,,,"151,392.79 ",,
07/10/2025,SMS,,,,"230,137.69 ","99,000.00 ",
08/10/2025,SMS,,,"40,364.37 ","278,700.35 ",,
09/10/2025,SMS,,,,"354,396.74 ",,"37,440.00 "
10/10/2025,SMS,,"81,682.00 ",,"281,659.49 ",,
11/10/2025,SMS,,"131,301.00 ",,"1,203,252.86 ",,
12/10/2025,SMS,,"92,816.00 ","42,670.90 ","645,713.15 ",,
13/10/2025,SMS,,"56,595.00 ",,"1,156,090.33 ",,"58,560.00 "
14/10/2025,SMS,,,,"166,302.68 ","36,440.00 ",
15/10/2025,SMS,,"41,880.00 ",,"162,861.93 ",,
16/10/2025,SMS,,,,"377,608.12 ",,
17/10/2025,SMS,,"139,224.00 ",,"924,279.45 ",,
18/10/2025,SMS,,"39,617.00 ","21,912.09 ","633,097.09 ",,
19/10/2025,SMS,,"223,233.00 ","123,492.60 ","1,002,681.76 ",,
20/10/2025,SMS,,,,"120,426.08 ",,
21/10/2025,SMS,,,,"91,753.21 ",,
22/10/2025,SMS,,,,"380,775.79 ","1,248,862.00 ",
23/10/2025,SMS,,"39,617.00 ",,"348,180.57 ","914,553.00 ",
24/10/2025,SMS,,"78,101.00 ",,"293,366.96 ","1,121,097.00 ",
25/10/2025,SMS,,"81,497.00 ","35,446.95 ","1,623,207.46 ",,
26/10/2025,SMS,,"143,752.00 ",,"707,164.95 ",,
27/10/2025,SMS,,"127,905.00 ",,"330,629.28 ","1,320,690.00 ","41,280.00 "
28/10/2025,SMS,,,,"83,724.80 ","1,250,187.00 ",
29/10/2025,SMS,,"92,816.00 ","40,364.37 ","125,013.75 ","1,316,718.00 ",
30/10/2025,SMS,,"107,800.00 ",,"261,496.63 ","953,280.00 ",
31/10/2025,SMS,,,"94,567.94 ","443,856.11 ","812,274.00 ",
01/11/2025,SMS,,,"152,481.37 ","988,794.65 ",,
02/11/2025,SMS,,,"84,978.55 ","1,343,166.56 ",,
03/11/2025,SMS,,,,"415,055.03 ",,
04/11/2025,SMS,,"76,969.00 ",,"436,686.65 ",,
05/11/2025,SMS,,"125,641.00 ",,"42,435.86 ",,
06/11/2025,SMS,,,,"246,586.73 ",,
07/11/2025,SMS,,"39,617.00 ",,"40,142.03 ",,
08/11/2025,SMS,,,,"838,941.02 ",,
09/11/2025,SMS,,"209,118.00 ",,"1,537,779.67 ",,
10/11/2025,SMS,,,,"316,548.55 ",,
11/11/2025,SMS,,,,"324,095.34 ",,
12/11/2025,SMS,,,"46,130.70 ","215,620.03 ",,
13/11/2025,SMS,,,"20,758.82 ","412,800.04 ",,
14/11/2025,SMS,,,,"44,729.69 ",,
15/11/2025,SMS,,,,"895,603.88 ",,
16/11/2025,SMS,,,"42,670.90 ","860,653.72 ",,
17/11/2025,SMS,,"56,595.00 ",,"224,795.34 ",,
18/11/2025,SMS,,,,"450,737.60 ",,
19/11/2025,SMS,,"124,510.00 ","47,283.97 ","153,686.62 ",,
20/11/2025,SMS,,,,"714,837.58 ",,
21/11/2025,SMS,,,,"402,567.18 ",,
22/11/2025,SMS,,,"40,364.37 ","1,087,548.50 ",,
23/11/2025,SMS,,"90,552.00 ","76,115.66 ","584,926.66 ",,
24/11/2025,SMS,,"98,000.00 ",,"151,392.78 ",,
25/11/2025,SMS,,,,"221,354.60 ",,
26/11/2025,SMS,,,,"259,202.79 ",,
27/11/2025,SMS,,,,"237,178.06 ",,
28/11/2025,SMS,,,"83,035.26 ","976,297.75 ",,
29/11/2025,SMS,,"46,408.00 ","152,231.31 ","996,381.17 ",,
30/11/2025,SMS,,"75,837.00 ","200,943.14 ","649,153.90 ","99,800.00 ",
01/12/2025,SMS,,,,"178,918.75 ","47,960.00 ",
02/12/2025,SMS,,"508,223.00 ",,"314,085.91 ",,
