Tanggal,Toko,MASUK CASH,KREDIT BCA,DEBIT BCA,QRIS BCA,MASUK GO-BIZ,MASUK OVO
17/08/2025,LA.PIAZZA,,,,"16,642,039.53 ","42,200.00 ","395,520.00 "
18/08/2025,LA.PIAZZA,,"11,280,519.00 ","6,023,663.07 ","10,388,716.37 ",,"164,240.00 "
19/08/2025,LA.PIAZZA,,"1,645,961.00 ","2,133,041.37 ","4,775,078.83 ","73,700.00 ","326,480.00 "
20/08/2025,LA.PIAZZA,"105,105.00","4,822,126.00 ","1,561,652.57 ","8,491,177.77 ","99,800.00 ","135,520.00 "
21/08/2025,LA.PIAZZA,,"2,090,472.00 ","3,256,427.50 ","4,804,903.61 ","76,400.00 ","120,560.00 "
22/08/2025,LA.PIAZZA,,"3,676,474.00 ","3,030,206.16 ","11,230,631.43 ","110,600.00 ","161,040.00 "
23/08/2025,LA.PIAZZA,,"3,256,261.00 ","4,759,149.30 ","19,836,312.01 ","67,400.00 ","119,040.00 "
24/08/2025,LA.PIAZZA,,"4,775,576.00 ","4,067,703.74 ","13,451,783.76 ","315,600.00 ","35,520.00 "
25/08/2025,LA.PIAZZA,,"961,924.00 ","2,077,015.22 ","6,208,449.52 ","127,700.00 ","288,320.00 "
26/08/2025,LA.PIAZZA,,"4,162,130.00 ","1,622,414.07 ","6,246,208.34 ",,"473,120.00 "
27/08/2025,LA.PIAZZA,,"3,091,421.00 ","1,524,302.37 ","6,733,384.06 ","37,700.00 ","66,880.00 "
28/08/2025,LA.PIAZZA,,"4,368,557.00 ","2,974,143.66 ","11,831,168.03 ","150,100.00 ",
29/08/2025,LA.PIAZZA,,"3,417,087.00 ","1,079,764.56 ","11,837,950.23 ","402,618.00 ","216,480.00 "
30/08/2025,LA.PIAZZA,,"3,119,850.00 ","4,737,382.78 ","17,905,458.27 ",,"378,400.00 "
31/08/2025,LA.PIAZZA,"159,390.00","4,174,085.00 ","3,106,212.08 ","7,571,332.09 ","189,800.00 ","479,600.00 "
01/09/2025,LA.PIAZZA,,"950,400.00 ","2,091,569.42 ","6,892,278.95 ","189,518.00 ","220,000.00 "
02/09/2025,LA.PIAZZA,,"908,565.00 ","1,990,199.83 ","7,742,331.65 ","156,400.00 ","110,000.00 "
03/09/2025,LA.PIAZZA,,"4,096,978.00 ","1,703,441.37 ","8,273,174.56 ","70,900.00 ","125,840.00 "
04/09/2025,LA.PIAZZA,,"2,180,663.00 ","1,653,955.97 ","15,986,609.90 ","274,545.00 ","437,360.00 "
05/09/2025,LA.PIAZZA,,"5,807,617.00 ","3,610,530.91 ","14,871,753.88 ","110,600.00 ",
06/09/2025,LA.PIAZZA,,"4,565,321.00 ","2,262,947.76 ","12,010,935.79 ","39,500.00 ","58,080.00 "
07/09/2025,LA.PIAZZA,,"3,619,659.00 ","3,056,989.17 ","15,543,915.61 ","92,600.00 ",
08/09/2025,LA.PIAZZA,"218,295.00","2,581,864.00 ","3,016,432.91 ","6,798,028.37 ","310,400.00 ","123,200.00 "
09/09/2025,LA.PIAZZA,,"3,034,375.00 ","1,636,332.39 ","4,651,922.01 ","307,050.00 ","183,920.00 "
10/09/2025,LA.PIAZZA,,"1,517,789.00 ","573,981.30 ","6,437,082.79 ","169,100.00 ","286,880.00 "
11/09/2025,LA.PIAZZA,,"2,783,799.00 ","1,213,392.19 ","5,284,477.90 ","39,500.00 ","305,360.00 "
12/09/2025,LA.PIAZZA,,"3,590,019.00 ","4,119,035.96 ","6,873,943.21 ",,"30,800.00 "
13/09/2025,LA.PIAZZA,,"5,167,437.00 ","4,854,150.76 ","16,519,552.99 ","114,200.00 ","68,640.00 "
14/09/2025,LA.PIAZZA,,"4,523,372.00 ","3,963,865.30 ","15,205,972.86 ","257,200.00 ","303,280.00 "
15/09/2025,LA.PIAZZA,,"4,035,645.00 ","5,723,484.70 ","5,006,959.23 ","215,736.00 ",
16/09/2025,LA.PIAZZA,,"1,249,618.00 ","1,616,850.43 ","7,112,670.35 ",,"452,240.00 "
17/09/2025,LA.PIAZZA,,"2,655,493.00 ","975,679.31 ","4,629,549.73 ","108,718.00 ","118,800.00 "
18/09/2025,LA.PIAZZA,,"1,135,566.00 ","769,548.21 ","5,309,799.41 ","80,818.00 ","30,800.00 "
19/09/2025,LA.PIAZZA,,"2,327,305.00 ","2,095,812.44 ","10,774,993.37 ","131,200.00 ","49,920.00 "
20/09/2025,LA.PIAZZA,,"5,328,963.00 ","4,242,358.21 ","10,860,733.96 ","255,200.00 ","37,840.00 "
21/09/2025,LA.PIAZZA,,"7,900,500.00 ","5,085,685.56 ","15,574,107.75 ","384,000.00 ","381,760.00 "
22/09/2025,LA.PIAZZA,"105,105.00","4,062,542.00 ","522,860.17 ","6,933,647.35 ","151,100.00 ","186,560.00 "
23/09/2025,LA.PIAZZA,"78,540.00","1,922,574.00 ","1,126,215.67 ","7,617,725.04 ","76,400.00 ","127,600.00 "
24/09/2025,LA.PIAZZA,,"1,822,168.00 ","676,913.75 ","4,231,302.12 ","152,900.00 ","270,160.00 "
25/09/2025,LA.PIAZZA,,"2,303,540.00 ","1,135,507.84 ","6,984,689.52 ","241,000.00 ","49,920.00 "
26/09/2025,LA.PIAZZA,,"5,552,468.00 ","2,713,363.92 ","6,966,495.77 ","64,700.00 ",
27/09/2025,LA.PIAZZA,,"3,701,916.00 ","2,649,883.07 ","13,558,973.13 ","169,520.00 ","151,000.00 "
28/09/2025,LA.PIAZZA,"110,880.00","6,896,760.00 ","5,416,624.43 ","16,269,823.41 ","26,900.00 ",
29/09/2025,LA.PIAZZA,"121,275.00","3,328,233.00 ","1,211,076.99 ","4,726,774.35 ","159,100.00 ","58,080.00 "
30/09/2025,LA.PIAZZA,"107,415.00","986,538.00 ","2,588,377.53 ","6,736,417.68 ",,"400,080.00 "
01/10/2025,LA.PIAZZA,,"7,346,406.00 ","1,993,065.12 ","6,354,897.14 ","90,800.00 ","303,600.00 "
02/10/2025,LA.PIAZZA,,"2,740,476.00 ","1,498,313.12 ","8,883,874.52 ","61,100.00 ","233,760.00 "
03/10/2025,LA.PIAZZA,,"1,917,724.00 ","2,036,821.05 ","17,769,536.41 ","37,700.00 ","361,680.00 "
04/10/2025,LA.PIAZZA,,"4,809,921.00 ","5,019,169.15 ","21,598,494.76 ","153,373.00 ","590,480.00 "
05/10/2025,LA.PIAZZA,,"3,926,076.00 ","4,971,092.29 ","15,284,012.73 ","115,000.00 ","113,520.00 "
06/10/2025,LA.PIAZZA,,"2,660,130.00 ","2,398,919.25 ","5,064,806.45 ","30,500.00 ","156,640.00 "
07/10/2025,LA.PIAZZA,,"3,597,445.00 ","1,059,312.30 ","4,279,899.52 ","188,900.00 ","146,960.00 "
08/10/2025,LA.PIAZZA,,"4,722,288.00 ","560,978.31 ","7,086,360.80 ",,"182,720.00 "
09/10/2025,LA.PIAZZA,,"4,870,170.00 ","1,029,411.08 ","10,050,297.01 ",,"237,200.00 "
10/10/2025,LA.PIAZZA,,"2,819,465.00 ","4,661,689.70 ","6,846,243.48 ",,"191,520.00 "
11/10/2025,LA.PIAZZA,,"4,586,546.00 ","5,409,492.26 ","16,680,001.92 ","254,400.00 ",
12/10/2025,LA.PIAZZA,,"3,737,620.00 ","3,657,757.47 ","11,503,423.41 ","421,900.00 ","145,760.00 "
13/10/2025,LA.PIAZZA,,"1,794,406.00 ","2,090,272.81 ","5,492,516.37 ",,
14/10/2025,LA.PIAZZA,,"3,169,728.00 ","1,742,851.69 ","7,100,808.95 ",,"154,560.00 "
15/10/2025,LA.PIAZZA,,"3,571,618.00 ","1,610,267.53 ","5,659,906.39 ","87,200.00 ","279,840.00 "
16/10/2025,LA.PIAZZA,,"2,788,063.00 ","1,423,015.86 ","6,311,289.56 ","147,400.00 ","330,880.00 "
17/10/2025,LA.PIAZZA,,"5,089,082.00 ","2,124,527.80 ","6,690,258.08 ",,"296,560.00 "
18/10/2025,LA.PIAZZA,"207,900.00","7,063,241.00 ","5,865,283.02 ","23,562,082.75 ","220,493.00 ","27,280.00 "
19/10/2025,LA.PIAZZA,"151,305.00","6,609,757.00 ","2,711,450.29 ","12,324,271.96 ","122,200.00 ","161,600.00 "
20/10/2025,LA.PIAZZA,,"2,890,084.00 ","1,447,653.91 ","8,017,129.51 ",,"27,280.00 "
21/10/2025,LA.PIAZZA,"122,430.00","2,965,671.00 ","1,745,991.68 ","7,369,246.65 ",,"27,280.00 "
22/10/2025,LA.PIAZZA,,"2,586,525.00 ","1,548,886.19 ","4,282,014.61 ",,
23/10/2025,LA.PIAZZA,,"2,362,588.00 ","945,679.35 ","7,755,071.83 ","163,500.00 ","347,600.00 "
24/10/2025,LA.PIAZZA,,"1,847,483.00 ","2,400,977.36 ","6,637,991.52 ","106,900.00 ","288,320.00 "
25/10/2025,LA.PIAZZA,,"9,227,330.00 ","4,331,849.44 ","14,369,703.01 ","64,700.00 ",
26/10/2025,LA.PIAZZA,,"6,192,343.00 ","4,881,695.45 ","13,736,181.93 ",,"88,000.00 "
27/10/2025,LA.PIAZZA,,"1,628,422.00 ","785,055.24 ","4,073,529.30 ","82,700.00 ","165,440.00 "
28/10/2025,LA.PIAZZA,,"4,104,960.00 ","1,275,527.72 ","6,887,567.18 ","76,400.00 ","280,720.00 "
29/10/2025,LA.PIAZZA,,"3,006,043.00 ","2,098,623.95 ","4,482,630.42 ","115,100.00 ","200,640.00 "
